combo,groups,M74,M77,M79,M80,M81,M82,M85,M87
164,BCDEFGHJ,C,F,H,E,B,J,G,D
165,BCDEFGHI,D,F,C,I,B,H,G,E
166,AFGHIJKL,F,G,H,K,I,A,J,L
167,AEGHIJKL,A,G,E,K,I,H,J,L
168,AEFHIJKL,F,H,E,K,I,A,J,L
169,AEFGIJKL,F,G,E,K,I,A,J,L
170,AEFGHJKL,F,H,E,K,J,A,G,L
171,AEFGHIKL,F,H,E,K,I,A,G,L
172,AEFGHIJL,F,H,E,I,J,A,G,L
173,AEFGHIJK,F,H,E,K,J,A,G,I
174,ADGHIJKL,D,G,H,K,I,A,J,L
175,ADFHIJKL,D,F,H,K,I,A,J,L
176,ADFGIJKL,D,F,I,K,J,A,G,L
177,ADFGHJKL,D,F,H,K,J,A,G,L
178,ADFGHIKL,D,F,H,K,I,A,G,L
179,ADFGHIJL,D,F,H,I,J,A,G,L
180,ADFGHIJK,D,F,H,K,J,A,G,I
181,ADEHIJKL,D,H,E,K,I,A,J,L
182,ADEGIJKL,D,G,E,K,I,A,J,L
183,ADEGHJKL,D,H,E,K,J,A,G,L
184,ADEGHIKL,D,H,E,K,I,A,G,L
185,ADEGHIJL,D,H,E,I,J,A,G,L
186,ADEGHIJK,D,H,E,K,J,A,G,I
187,ADEFIJKL,D,F,E,K,I,A,J,L
188,ADEFHJKL,D,F,H,K,E,A,J,L
189,ADEFHIKL,D,F,H,K,I,A,E,L
190,ADEFHIJL,D,F,H,I,E,A,J,L
191,ADEFHIJK,D,F,H,K,E,A,J,I
192,ADEFGJKL,D,F,E,K,J,A,G,L
193,ADEFGIKL,D,F,E,K,I,A,G,L
194,ADEFGIJL,D,F,E,I,J,A,G,L
195,ADEFGIJK,D,F,E,K,J,A,G,I
196,ADEFGHKL,D,F,H,K,E,A,G,L
197,ADEFGHJL,D,F,H,E,J,A,G,L
198,ADEFGHJK,D,F,H,K,J,A,G,E
199,ADEFGHIL,D,F,H,I,E,A,G,L
200,ADEFGHIK,D,F,H,K,E,A,G,I
201,ADEFGHIJ,D,F,H,I,J,A,G,E
202,ACGHIJKL,C,G,H,K,I,A,J,L
203,ACFHIJKL,C,F,H,K,I,A,J,L
204,ACFGIJKL,C,F,I,K,J,A,G,L
205,ACFGHJKL,C,F,H,K,J,A,G,L
206,ACFGHIKL,C,F,H,K,I,A,G,L
207,ACFGHIJL,C,F,H,I,J,A,G,L
208,ACFGHIJK,C,F,H,K,J,A,G,I
209,ACEHIJKL,C,H,E,K,I,A,J,L
210,ACEGIJKL,C,G,E,K,I,A,J,L
211,ACEGHJKL,C,H,E,K,J,A,G,L
212,ACEGHIKL,C,H,E,K,I,A,G,L
213,ACEGHIJL,C,H,E,I,J,A,G,L
214,ACEGHIJK,C,H,E,K,J,A,G,I
215,ACEFIJKL,C,F,E,K,I,A,J,L
216,ACEFHJKL,C,F,H,K,E,A,J,L
217,ACEFHIKL,C,F,H,K,I,A,E,L
218,ACEFHIJL,C,F,H,I,E,A,J,L
219,ACEFHIJK,C,F,H,K,E,A,J,I
220,ACEFGJKL,C,F,E,K,J,A,G,L
221,ACEFGIKL,C,F,E,K,I,A,G,L
222,ACEFGIJL,C,F,E,I,J,A,G,L
223,ACEFGIJK,C,F,E,K,J,A,G,I
224,ACEFGHKL,C,F,H,K,E,A,G,L
225,ACEFGHJL,C,F,H,E,J,A,G,L
226,ACEFGHJK,C,F,H,K,J,A,G,E
227,ACEFGHIL,C,F,H,I,E,A,G,L
228,ACEFGHIK,C,F,H,K,E,A,G,I
229,ACEFGHIJ,C,F,H,I,J,A,G,E
230,ACDHIJKL,C,D,H,K,I,A,J,L
231,ACDGIJKL,C,D,I,K,J,A,G,L
232,ACDGHJKL,C,D,H,K,J,A,G,L
233,ACDGHIKL,C,D,H,K,I,A,G,L
234,ACDGHIJL,C,D,H,I,J,A,G,L
235,ACDGHIJK,C,D,H,K,J,A,G,I
236,ACDFIJKL,D,F,C,K,I,A,J,L
237,ACDFHJKL,C,D,H,K,F,A,J,L
238,ACDFHIKL,C,D,H,K,I,A,F,L
